"gene","mean_elderly","mean_young","log2FC","pvalue","padj"
"ZNF518B",2.73680861334279,3.23955851353964,-0.502749900196853,6.20166215582113e-08,0.000970829250354396
"HCG11",2.61111020967517,3.08796660810514,-0.476856398429975,1.22948219533329e-07,0.000970829250354396
"AL121820.2",1.55977627496668,2.11517595336919,-0.555399678402504,1.91958269499349e-07,0.000970829250354396
"NRIP3",1.3267236149393,1.66238246945067,-0.335658854511367,2.37149129857562e-07,0.000970829250354396
"POMC",1.20935609109681,1.6856429920873,-0.476286900990485,5.16136521703437e-07,0.00142554848556054
"RSPH9",0.903206374271559,1.15528144533499,-0.252075071063436,5.22338376388594e-07,0.00142554848556054
"AC004846.1",1.12501220500331,1.49778717738139,-0.372774972378079,6.29335900296987e-07,0.00147219648105188
"RANBP17",0.908598798127383,1.23799442854763,-0.329395630420243,1.01709739500357e-06,0.00208187123039794
"YPEL4",1.34150242042638,1.79028639120625,-0.44878397077987,3.17266759579352e-06,0.00531621545382414
"TRIM21",4.9478404292485,5.25212097917453,-0.30428054992603,3.2465437885949e-06,0.00531621545382414
"H2BC5",5.36239338765641,5.85169112586275,-0.489297738206339,4.97913639085188e-06,0.00741212349092723
"ADGRG5",1.03917562328463,1.42039868400473,-0.3812230607201,5.71172548341159e-06,0.00779412539923874
"PLAAT1",3.37741493728872,2.94248548192453,0.43492945536419,6.25868846486223e-06,0.00788354027785531
"FUOM",3.54325537808191,4.01316377349101,-0.469908395409094,8.12667579147104e-06,0.00915379067595586
"H2AC11",1.3327554695426,1.63797098363102,-0.305215514088416,8.69905001612274e-06,0.00915379067595586
"MT-ND1",13.5119035374675,13.0765746229692,0.435328914498355,8.94416188185e-06,0.00915379067595586
"KL",2.18048203635544,2.59059744431446,-0.41011540795902,1.07205186174814e-05,0.0102693953261833
"BHLHE40-AS1",1.08663583721346,1.27841717929394,-0.191781342080476,1.12884956257283e-05,0.0102693953261833
"ENTPD1",4.69644107034438,5.17239855441115,-0.47595748406677,1.2818638821228e-05,0.0110476426682952
"GBP1",4.66211859661378,5.11605702147797,-0.453938424864194,1.43154107046967e-05,0.0117207425144704
"NXF1",5.77233730172177,6.08563537829799,-0.313298076576225,1.63537708303351e-05,0.0126216304065602
"HENMT1",2.11335427738275,2.46240265097441,-0.34904837359166,1.69573049736992e-05,0.0126216304065602
"MT-CO3",14.9726058178733,14.6132022684429,0.359403549430354,2.02415183760023e-05,0.0129085539824789
"AC090409.1",0.959773456511425,1.20769465566011,-0.247921199148683,2.02966869540517e-05,0.0129085539824789
"PPP4R1L",1.92008022052087,2.18403493983399,-0.263954719313123,2.04283961526108e-05,0.0129085539824789
"ERICD",2.47493944456613,2.74465141630127,-0.269711971735146,2.0496024643936e-05,0.0129085539824789
"ADGRL2",3.21852712700404,3.70937065601921,-0.490843529015171,2.19087853266836e-05,0.0132872725823868
"H2BC11",1.73188690401296,2.02356249029649,-0.291675586283535,2.31999530139321e-05,0.0133855118965066
"MANEAL",3.19586461649696,2.88909228265601,0.306772333840947,2.37056393892331e-05,0.0133855118965066
"KLRB1",1.50940178714386,1.93463652275187,-0.425234735608009,2.62498909907754e-05,0.0137354373685685
"PDLIM1",8.64834161463825,9.05033343466717,-0.401991820028924,2.64353557097586e-05,0.0137354373685685
"RAB3A",3.04442550416058,2.76534300503937,0.279082499121205,2.7632068329106e-05,0.0137354373685685
"TRANK1",3.54920554881627,3.86317466208861,-0.313969113272337,2.76805760710082e-05,0.0137354373685685
"KLHL35",0.900239687200135,1.14897811072474,-0.24873842352461,3.37393769486567e-05,0.0159108044282978
"IGHD",1.57827528431458,2.36932111849897,-0.791045834184392,3.4814627516758e-05,0.0159108044282978
"TMEM215",2.18812980861189,3.06389339420964,-0.87576358559775,3.49794784377845e-05,0.0159108044282978
"CCDC148",1.95895985840895,2.28793092856584,-0.328971070156887,3.74406772426404e-05,0.0164394664503239
"FAM111A",4.5802870530591,4.925115066243,-0.344828013183899,3.84951619641607e-05,0.0164394664503239
"AL359220.1",1.53580468634635,1.76247948912758,-0.226674802781224,3.94959747549964e-05,0.0164394664503239
"NKAPL",1.18618049166805,1.50969864442039,-0.32351815275234,4.09556132576736e-05,0.0164394664503239
"ODC1",7.18368469533951,7.51838128394433,-0.334696588604821,4.11614121809637e-05,0.0164394664503239
"PHF11",4.3890971736762,4.60868543915551,-0.21958826547931,4.78717472364045e-05,0.018289272129761
"AP000648.4",1.49582716250022,1.72384184724466,-0.228014684744442,4.80267909361664e-05,0.018289272129761
"FAM124B",1.19895488513218,1.45096428511327,-0.252009399981088,5.03028145603315e-05,0.0187206497369416
"GBP1P1",2.23492369626816,2.6605867970332,-0.425663100765044,5.52859223330966e-05,0.0200839300008824
"GBP3",4.87402723353202,5.47658636783436,-0.602559134302335,5.64189789337764e-05,0.0200839300008824
"DGKH",1.84683849391884,2.08722138366015,-0.240382889741307,6.0722062857517e-05,0.0211558250913158
"ANXA1",9.00476886937879,9.6135852909601,-0.608816421581317,6.26594845070443e-05,0.0213708724520071
"UACA",5.36952276358121,5.76635712879133,-0.396834365210119,6.39494809250899e-05,0.0213708724520071
"MT-CO2",14.670633175709,14.3694632635788,0.301169912130161,6.81800662774388e-05,0.0221119049623209
"HMGB1P6",5.43759319154409,5.72751295745624,-0.289919765912143,6.88676124017322e-05,0.0221119049623209
"CREB3L1",2.79965154169201,2.33436124424682,0.465290297445194,7.19843672589757e-05,0.0226681541128024
"PTMAP9",2.4894513930108,2.75472120626008,-0.26526981324928,7.48974731469807e-05,0.0231404928826756
"AQP5",3.41502614284825,4.2625525911781,-0.847526448329848,7.79967036943361e-05,0.0236517782036066
"RPL39L",3.18290732224757,3.54876986685072,-0.365862544603152,8.24263619760432e-05,0.024410425506305
"CD8A",2.70470332318835,3.17982300195556,-0.475119678767217,8.3479928449043e-05,0.024410425506305
"APOL6",4.36628593929833,4.72400740287552,-0.357721463577195,8.50508939037149e-05,0.024433480485497
"BTG3-AS1",0.971160620847218,1.1348375294058,-0.163676908558578,8.74360077576143e-05,0.0246855970177747
"PGBD5",2.81195533785739,2.41900012166833,0.392955216189065,9.73009116678545e-05,0.0270051259078155
"PAQR8",2.41208215971966,2.69629495417674,-0.28421279445708,0.000102081838132153,0.0277895300808633
"UPF3AP3",1.03452182222671,1.20005880512513,-0.165536982898422,0.000104741027175198,0.0277895300808633
"TRBV5-4",1.40070076608963,1.93529976076864,-0.534598994679015,0.00010521837343594,0.0277895300808633
"ZNF683",1.52088589150285,1.96278188224916,-0.441895990746305,0.000109471260637887,0.028056585134242
"TIAM1",3.39636153818858,3.96914219928792,-0.572780661099341,0.000109656271669709,0.028056585134242
"SERP2",2.27148540490428,2.64050413367721,-0.369018728772939,0.000112140541853805,0.0282507903516317
"DNALI1",3.65358320267143,4.19285980009302,-0.539276597421583,0.000119041649362764,0.0295349546714434
"MT-RNR1",11.8098350749335,11.4368168735613,0.373018201372185,0.00012401150887099,0.0303087829516785
"MICB-DT",0.941378596215952,1.16733106627761,-0.225952470061653,0.000126895337540702,0.030454230365723
"IFI44",4.54688584040069,4.8974170557792,-0.350531215378517,0.000128951605082162,0.030454230365723
"PPP1R14C",6.83400169110055,7.28553024731185,-0.4515285562113,0.000130186022937442,0.030454230365723
"GREB1L",1.78778665736953,2.10661940794667,-0.318832750577144,0.00013993154271367,0.0322729438300895
"TCTEX1D4",1.24155822285649,1.46839475249487,-0.226836529638379,0.000146943557849097,0.03341945499693
"CFLAR",4.30802965367012,4.54614292035394,-0.238113266683818,0.000154859760910898,0.0338381974463102
"SNX1",7.06374106941501,7.33826490637638,-0.274523836961372,0.000155748723394345,0.0338381974463102
"ANGPT1",1.67678829545898,2.04131281111166,-0.364524515652681,0.000156520330557522,0.0338381974463102
"AC105749.1",1.12764599601573,1.31326225326719,-0.185616257251457,0.000157050565246997,0.0338381974463102
"LMO4",5.35368267727978,5.60980813060768,-0.256125453327907,0.00017360947720883,0.0369201972635661
"LGR6",2.58127588753247,3.03742907321065,-0.45615318567818,0.000182507307237074,0.0383148353334241
"LINC01871",1.62476141538323,2.08085845028144,-0.456097034898212,0.000190813534023288,0.0391344044357362
