gene,f_statistic,p_value
KCNN4,650.8631735836237,7.5257329711749765e-50
PDLIM4,564.7240002160348,8.43536323054404e-47
FN1,522.0258621280769,3.8362060956539137e-45
SERPINA1,510.96224046945883,1.0753591842862071e-44
CYP2S1,428.92375814958615,4.170806517523673e-41
TACSTD2,425.860140398055,5.814116246048257e-41
SYT12,422.01390970059896,8.846233457317053e-41
DCSTAMP,411.5942686763982,2.8000738927906894e-40
LAMB3,398.64340374950626,1.210858013647917e-39
RPS29P11,389.9421436451838,3.306704074006744e-39
AF131216.3,377.04655717968393,1.5135640538406504e-38
RUNX2,368.8317392772634,4.072753294688161e-38
RUNX1,363.43234807654187,7.878164797556324e-38
KCNQ3,356.53524867578375,1.849994380122568e-37
PTPRE,342.89588081385153,1.0388051274619443e-36
SFTPB,338.0517965082234,1.941075204845234e-36
B3GNT3,322.7646326699108,1.4597107194627734e-35
NR2F1-AS1,321.91177122231744,1.636988063254767e-35
EVA1A,316.14136401225585,3.576125873965376e-35
SLC34A2,316.13123117477244,3.581069100196622e-35
CYP1B1,312.5252555487495,5.866765051756308e-35
GJB3,307.27504752061793,1.2127894311344005e-34
COL8A2,301.1189226202424,2.87482271667457e-34
TMPRSS6,295.3688167678898,6.512454472164437e-34
LGALS3,293.4111370895652,8.625549862793455e-34
PDE5A,291.40470088126506,1.1520604413642448e-33
STAC,283.8488597877295,3.470655783462211e-33
PLEKHA6,280.76842713837465,5.4735651876063464e-33
TIMP1,278.30278683810695,7.902241234511836e-33
SLC4A4,277.2829493121022,9.2046242932178e-33
PROS1,276.23089453016246,1.0777925286990978e-32
NGEF,273.9555542539341,1.518370695725405e-32
SFN,273.4375249829397,1.642049845544674e-32
CHI3L1,271.8256466159946,2.0965051479182522e-32
SLC27A6,270.5638184660329,2.54021215114784e-32
NECTIN4,269.83836993291766,2.837439300895718e-32
SDC4,265.5956865168419,5.442531763433355e-32
MACC1,263.7028459020729,7.294898917749706e-32
GABRB2,263.15655213807577,7.940608272316083e-32
CST6,258.38816977634644,1.6735531510880601e-31
FAM20C,253.77945283940429,3.471579421101944e-31
ICAM1,252.75079623005266,4.090674272367029e-31
ANXA2,249.75172344204537,6.617873884373282e-31
PLAU,248.2849276182339,8.38540912229304e-31
PLCD3,246.36106536958937,1.1454989202276886e-30
LGI3,246.14254321001604,1.1869367833607157e-30
CREB5,244.40127043908348,1.5766565005993865e-30
ETHE1,243.8069948125344,1.7376311273383857e-30
TMPRSS4,243.42920860822073,1.84856110878865e-30
KRT19,242.26353126372194,2.2384126373676542e-30
ALOX5,238.66352860293003,4.058061774413369e-30
SLC25A47P1,237.31470802320584,5.079279494933154e-30
EBI3,236.47183467623913,5.84666741264468e-30
IL1RAP,235.80941935598037,6.531825534587526e-30
GBP2,235.73825012921438,6.610139073087743e-30
RASGEF1B,231.1609918006953,1.429970313658703e-29
AC009549.1,229.58212542155704,1.870455675440268e-29
CCL13,227.87442136893478,2.5042971914362415e-29
TAGLN2,225.42685664805944,3.814486307674264e-29
MET,224.47248034000847,4.49832806958074e-29
MVP,223.07791819651194,5.72874067947271e-29
EPHB3,222.7715840581813,6.042038181521823e-29
CTSH,222.47388393426306,6.363207227195575e-29
WARS1P1,221.40559339782283,7.665731330783122e-29
ALDH3B1,221.32238068935638,7.777932466159784e-29
S100A10,220.9699697493262,8.271935092462475e-29
LY6E,220.1042999948287,9.62538422862918e-29
BID,219.83675591981924,1.0087694952765084e-28
DUSP5,218.0751514840774,1.3751421889525807e-28
RSPO4,215.91154548935282,2.0164346623790604e-28
SLC22A31,214.88473121533752,2.420233910816662e-28
LDHD,213.2146369964596,3.260777198920232e-28
ANXA1,212.78348099903982,3.5224967894795904e-28
MAMLD1,212.40855467941088,3.7674118336929955e-28
C11orf80,212.13967044638093,3.9536615975447587e-28
PLAUR,210.7152997323902,5.108578929684913e-28
CAMK2N1,209.52377251640308,6.335487316696058e-28
OTOS,208.23412532448893,8.004691723864025e-28
SLC35F2,204.6026878674886,1.5542525613259526e-27
AC002401.4,200.92765606225694,3.0655219388682857e-27
DTX4,199.38620134734668,4.0855718643702556e-27
IRF5,198.94466533415422,4.437091952342196e-27
HGD,198.70429240304622,4.6412394893107146e-27
KCP,198.3081151109756,4.998787388991566e-27
RIN1,198.188487197495,5.1121653875081685e-27
LINC02861,197.92655521730526,5.369633517895913e-27
JAK3,197.75842159933723,5.541814525430061e-27
CXCL17,197.6585954059107,5.6466899828816316e-27
AC254633.1,197.5878656862309,5.722217034685512e-27
GNA14,196.98938865433865,6.4038689926863496e-27
ARNTL,196.35970094666567,7.210588260303458e-27
MT1F,194.89755214325825,9.506546735133969e-27
DUSP15,194.31794434041777,1.0611309708351261e-26
MTMR11,194.31208699161434,1.0623116770742063e-26
AP002358.1,194.05645397635547,1.1151645564878738e-26
PLXNC1,193.40862889459186,1.261408349352442e-26
WNT4,193.06962167750532,1.3455684243834748e-26
MXRA8,191.12734515196968,1.9507865920228043e-26
