names,scores,logfoldchanges,pvals,pvals_adj
S100A6,155.14381,2.7456443,0.0,0.0
S100A11,153.06018,2.7459993,0.0,0.0
S100A4,138.7214,2.7248466,0.0,0.0
FN1,129.21074,4.8004065,0.0,0.0
LGALS3,116.52082,3.4397478,0.0,0.0
LGALS1,114.61141,2.8369277,0.0,0.0
FTH1,111.15924,1.1380764,0.0,0.0
GAPDH,107.03447,1.3340905,0.0,0.0
ANXA1,105.11671,1.9039391,0.0,0.0
TIMP1,102.4607,3.1067789,0.0,0.0
CD63,102.016014,1.9088732,0.0,0.0
CST3,90.65079,2.0987465,0.0,0.0
SAT1,89.47619,1.4349251,0.0,0.0
ANXA2,89.368,1.961537,0.0,0.0
NPC2,87.052444,2.020452,0.0,0.0
GPX1,86.7596,1.9143448,0.0,0.0
S100A10,86.39785,1.6826972,0.0,0.0
SERPINA1,85.744095,3.8547947,0.0,0.0
MT-CO1,85.63989,0.5961745,0.0,0.0
CTSC,83.00507,2.3444834,0.0,0.0
VIM,82.55421,1.1727254,0.0,0.0
NEAT1,81.92657,1.3599534,0.0,0.0
SLC34A2,80.839714,6.771727,0.0,0.0
CLU,79.547295,2.1787407,0.0,0.0
APOE,79.41675,4.8159842,0.0,0.0
S100A1,77.908424,3.5940802,0.0,0.0
GSN,77.28361,2.45069,0.0,0.0
CTSB,77.00737,1.7433174,0.0,0.0
HLA-DRB1,75.77052,1.95324,0.0,0.0
FTL,71.95959,0.86172575,0.0,0.0
GSTP1,67.99684,1.2989148,0.0,0.0
TMSB10,67.91951,0.64242953,0.0,0.0
S100A13,66.779915,1.9343615,0.0,0.0
TACSTD2,66.07231,4.7110023,0.0,0.0
APLP2,66.06032,1.5630519,0.0,0.0
MT-CO2,65.75032,0.4937486,0.0,0.0
KRT19,65.65541,3.906243,0.0,0.0
CCL4L2,65.35292,2.7321851,0.0,0.0
MYL6,63.733532,0.60061085,0.0,0.0
CTSH,63.547653,2.5096538,0.0,0.0
MT-ND5,63.438072,0.7424382,0.0,0.0
HSPA1A,63.097824,1.78864,0.0,0.0
DUSP6,62.190464,2.490051,0.0,0.0
CCL4,61.66969,1.9495707,0.0,0.0
LMNA,61.115623,1.6919788,0.0,0.0
CST6,61.030506,3.9795997,0.0,0.0
IFI27,60.613426,4.416482,0.0,0.0
APOC1,59.946995,3.9265323,0.0,0.0
ZFP36L1,59.466934,1.1121886,0.0,0.0
CLIC1,58.596123,0.94537675,0.0,0.0
JUN,58.241978,1.0535198,0.0,0.0
PTMS,57.512436,1.6030923,0.0,0.0
CTSD,57.51207,1.4988623,0.0,0.0
FOS,56.826126,0.99516505,0.0,0.0
SLPI,56.56437,3.7901506,0.0,0.0
TSC22D1,56.543873,1.9621141,0.0,0.0
GPX4,56.422844,0.88423634,0.0,0.0
CLTA,56.398952,1.2440083,0.0,0.0
CCND1,56.122356,2.417383,0.0,0.0
SERF2,56.1085,0.43364173,0.0,0.0
HSP90AA1,56.024952,0.7789244,0.0,0.0
SDC4,55.82343,3.0336215,0.0,0.0
IGSF1,55.459923,6.4121656,0.0,0.0
HLA-DRA,55.331757,1.3501482,0.0,0.0
ITGB1,55.122974,1.1749376,0.0,0.0
ANXA5,54.90927,1.2574373,0.0,0.0
CEBPD,54.78226,1.7153863,0.0,0.0
C4orf48,54.379154,1.7035291,0.0,0.0
