names,scores,logfoldchanges,pvals,pvals_adj,cluster
RPS29,218.2612,2.8631392,0.0,0.0,0
RPL21,217.20091,3.1836116,0.0,0.0,0
RPS27,216.0409,2.1448424,0.0,0.0,0
RPL34,214.82582,1.8731321,0.0,0.0,0
RPS6,211.93121,2.2547193,0.0,0.0,0
RPLP2,211.15079,2.6608787,0.0,0.0,0
RPL31,211.12738,3.81034,0.0,0.0,0
RPL13A,207.62637,3.6730018,0.0,0.0,0
RPL7,203.7337,2.9254065,0.0,0.0,0
RPS2,203.2548,2.5196552,0.0,0.0,0
RPS14,202.97034,1.7427689,0.0,0.0,0
RPL32,201.28185,1.6513845,0.0,0.0,0
RPS20,200.62492,3.3763394,0.0,0.0,0
RPL27A,196.80757,2.9014044,0.0,0.0,0
RPL36A,196.40744,3.3894532,0.0,0.0,0
RPS25,193.90129,1.6499896,0.0,0.0,0
RPL23A,192.74475,2.1234305,0.0,0.0,0
RPL39,191.37477,1.5810416,0.0,0.0,0
RPS16,189.74734,2.2445676,0.0,0.0,0
RPS17,188.75256,3.0770042,0.0,0.0,0
RPL18A,188.6739,1.6404784,0.0,0.0,0
RPS26,188.22575,2.4954517,0.0,0.0,0
RPL35A,188.16046,1.5520765,0.0,0.0,0
RPL13,187.72511,1.4274665,0.0,0.0,0
RPS18,186.76808,1.3706155,0.0,0.0,0
RPL3,185.83882,1.5300313,0.0,0.0,0
RPL38,185.35072,2.1682658,0.0,0.0,0
RPS10,184.44525,2.2621815,0.0,0.0,0
RPS15A,181.13757,1.3977386,0.0,0.0,0
RPS19,177.08394,1.4362726,0.0,0.0,0
RPL36,173.84697,1.3521664,0.0,0.0,0
RPL37A,171.15723,2.1987767,0.0,0.0,0
RPL35,171.09848,1.6002561,0.0,0.0,0
RPS15,170.66753,1.2551806,0.0,0.0,0
RPL9,169.37373,1.4658847,0.0,0.0,0
RPS8,168.50296,1.3444105,0.0,0.0,0
RPL41,166.48555,1.3763516,0.0,0.0,0
RPL11,162.94719,1.1313145,0.0,0.0,0
RPS3,161.961,1.3124422,0.0,0.0,0
RPS27A,160.9105,1.0940039,0.0,0.0,0
RPL37,159.98236,1.2888644,0.0,0.0,0
RPL27,159.71463,1.5967821,0.0,0.0,0
RPL26,153.83096,1.1653829,0.0,0.0,0
UBA52,151.89114,1.4901497,0.0,0.0,0
RPL10,151.37924,0.9106944,0.0,0.0,0
RPL4,148.74611,1.7821084,0.0,0.0,0
CXCR4,148.63446,2.9814,0.0,0.0,0
PABPC1,148.21683,2.012106,0.0,0.0,0
RPS5,147.93416,1.3617482,0.0,0.0,0
RPLP1,147.33176,0.9984565,0.0,0.0,0
RPL23,145.15967,1.7219701,0.0,0.0,0
RPS11,144.31815,1.6241614,0.0,0.0,0
RPS28,143.7834,0.8881689,0.0,0.0,0
RPL19,141.24074,1.0603158,0.0,0.0,0
RPL10A,140.74936,1.2588539,0.0,0.0,0
RPS12,139.06291,0.94071305,0.0,0.0,0
RPS13,138.2576,1.0697216,0.0,0.0,0
RPL17,137.35437,2.3266747,0.0,0.0,0
BTG1,130.59106,2.1803987,0.0,0.0,0
RPL22,129.34769,1.2064654,0.0,0.0,0
MT2A,129.05554,3.2525117,0.0,0.0,0
MT1X,128.84492,3.7350805,0.0,0.0,0
RPL15,128.33885,0.9892358,0.0,0.0,0
RPS21,124.82897,1.0982031,0.0,0.0,0
EIF3E,124.679695,1.817087,0.0,0.0,0
SRGN,122.58028,2.4058695,0.0,0.0,0
RPL12,120.39259,1.0065575,0.0,0.0,0
RPL6,119.444466,1.033463,0.0,0.0,0
RPS3A,119.27022,0.90694094,0.0,0.0,0
RPSA,118.54853,1.2778592,0.0,0.0,0
RPLP0,116.20087,1.2806839,0.0,0.0,0
CCR7,115.63311,3.4962373,0.0,0.0,0
TSC22D3,110.80751,1.9170516,0.0,0.0,0
GLTSCR2,110.48694,1.769823,0.0,0.0,0
TRAC,110.26945,2.3856695,0.0,0.0,0
GPR183,107.38864,2.585878,0.0,0.0,0
SARAF,106.86887,1.3191191,0.0,0.0,0
CD52,106.256714,2.1092036,0.0,0.0,0
UQCRB,106.24558,1.270224,0.0,0.0,0
IL7R,104.44544,2.4292874,0.0,0.0,0
CD3D,102.609024,2.1902282,0.0,0.0,0
YPEL5,100.320854,2.059636,0.0,0.0,0
LEPROTL1,98.17184,2.0133336,0.0,0.0,0
RGCC,98.07986,2.3676445,0.0,0.0,0
RPS4Y1,93.36959,1.5040681,0.0,0.0,0
JUNB,91.09599,1.3985745,0.0,0.0,0
ARHGDIB,90.6799,1.4456785,0.0,0.0,0
MT1E,89.75416,2.636164,0.0,0.0,0
RPS9,89.60186,0.6931305,0.0,0.0,0
CREM,89.11872,2.3268495,0.0,0.0,0
RPS4X,88.333466,0.74336,0.0,0.0,0
RPS23,88.279396,0.6528137,0.0,0.0,0
CD3E,87.41282,1.9887236,0.0,0.0,0
FXYD5,85.1954,1.5546505,0.0,0.0,0
EEF2,85.11095,1.1222292,0.0,0.0,0
CD69,84.37628,1.8086944,0.0,0.0,0
TOMM7,84.20948,0.96445537,0.0,0.0,0
EEF1A1,84.14886,0.5413668,0.0,0.0,0
RPL18,83.86528,0.6743854,0.0,0.0,0
RP11-347P5.1,83.83269,2.9634416,0.0,0.0,0
FN1,152.45737,4.946884,0.0,0.0,1
S100A6,128.43105,2.9135754,0.0,0.0,1
HSPA1A,127.836685,3.7747374,0.0,0.0,1
HSP90AA1,124.964005,2.170249,0.0,0.0,1
MTRNR2L12,113.05897,2.5663989,0.0,0.0,1
SLC34A2,105.48821,3.8323205,0.0,0.0,1
MT-CO1,100.8372,0.9408616,0.0,0.0,1
S100A4,99.44618,2.2791746,0.0,0.0,1
LGALS3,97.27493,2.5245945,0.0,0.0,1
MT-ND5,95.31623,1.5036153,0.0,0.0,1
KRT7,94.82332,3.042845,0.0,0.0,1
JUN,93.58246,1.9938972,0.0,0.0,1
FTH1,88.653694,1.1169703,0.0,0.0,1
S100A11,87.81822,1.7201499,0.0,0.0,1
S100A1,86.93304,2.7930315,0.0,0.0,1
KRT19,86.39242,3.1818445,0.0,0.0,1
CLU,86.30481,2.4450865,0.0,0.0,1
CXCL14,83.99809,4.019114,0.0,0.0,1
DNAJB1,83.87786,2.1958325,0.0,0.0,1
HSPA1B,82.10343,2.489532,0.0,0.0,1
HSP90AB1,80.92418,1.2491304,0.0,0.0,1
SLPI,80.31369,3.359445,0.0,0.0,1
S100A10,76.118675,1.6526686,0.0,0.0,1
ANXA2,75.0402,1.8687056,0.0,0.0,1
