"gene","direction"
"KCNN4","C2_up"
"SYT12","C2_up"
"DCSTAMP","C2_up"
"NR2F1-AS1","C2_up"
"RPS29P11","C2_up"
"STAC","C2_up"
"KCNQ3","C2_up"
"TMPRSS6","C2_up"
"SLC25A47P1","C2_up"
"TMPRSS4","C2_up"
"AC009549.1","C2_up"
"WARS1P1","C2_up"
"FN1","C2_up"
"IL1RAP","C2_up"
"CREB5","C2_up"
"AC002401.4","C2_up"
"PLAU","C2_up"
"AP002358.1","C2_up"
"ALOX5","C2_up"
"PLEKHA6","C2_up"
"SFTPB","C2_up"
"CCL13","C2_up"
"WNT10A","C2_up"
"SLC27A6","C2_up"
"GABRB2","C2_up"
"S100B","C2_up"
"ST6GALNAC5","C2_up"
"B3GNT3","C2_up"
"TMEM92","C2_up"
"CATSPER1","C2_up"
"KCP","C2_up"
"CYP2S1","C2_up"
"RASGRF1","C2_up"
"CLDN10","C2_up"
"MYO1G","C2_up"
"CYP1B1","C2_up"
"RUNX2","C2_up"
"KLK7","C2_up"
"RUNX1","C2_up"
"IGFL2","C2_up"
"PLAUR","C2_up"
"AL096865.1","C2_up"
"CXCL17","C2_up"
"MUC21","C2_up"
"CSF2","C2_up"
"SFN","C2_up"
"SPOCK2","C2_up"
"PELI1","C2_up"
"FCHO1","C2_up"
"MACC1","C2_up"
